1,2,4,7,15
19-09-21,00:00:30,19,91,0
19-09-21,00:00:45,19,91,0
19-09-21,00:01:00,19,91,0
19-09-21,00:01:15,19,91,0
19-09-21,00:01:30,19,91,0
19-09-21,00:01:45,19,92,0
19-09-21,00:02:00,19,92,0
19-09-21,00:02:15,19,92,0
19-09-21,00:02:30,19,92,0
19-09-21,00:02:45,19,92,0
19-09-21,00:03:00,19,92,0
19-09-21,00:03:15,19,92,0
19-09-21,00:03:30,19,92,0
19-09-21,00:03:45,19,92,0
19-09-21,00:04:00,19,92,0
19-09-21,00:04:15,19,92,0
19-09-21,00:04:30,19,92,0
19-09-21,00:04:45,19,92,0
19-09-21,00:05:00,19,92,0
19-09-21,00:05:15,19,92,0
19-09-21,00:05:30,19,92,0
19-09-21,00:05:45,19,92,0
19-09-21,00:06:00,19,92,0
19-09-21,00:06:15,19,92,0
19-09-21,00:06:30,19,93,0
19-09-21,00:06:45,19,93,0
19-09-21,00:07:00,19,93,0
19-09-21,00:07:15,19,93,0
19-09-21,00:07:30,19,93,0
19-09-21,00:07:45,19,93,0
19-09-21,00:08:00,19,93,0
19-09-21,00:08:15,19,93,0
19-09-21,00:08:30,19,93,0
19-09-21,00:08:45,19,93,0
19-09-21,00:09:00,19,93,0
19-09-21,00:09:15,19,93,0
19-09-21,00:09:30,19,93,0
19-09-21,00:09:45,19,93,0
19-09-21,00:10:00,19,93,0
19-09-21,00:10:15,19,93,0
19-09-21,00:10:30,19,93,0
19-09-21,00:10:45,19,93,0
19-09-21,00:11:00,19,93,0
19-09-21,00:11:15,19,93,0
19-09-21,00:11:30,19,93,0
19-09-21,00:11:45,19,93,0
19-09-21,00:12:00,19,93,0
19-09-21,00:12:15,19,93,0
19-09-21,00:12:30,19,93,0
19-09-21,00:12:45,19,93,0
19-09-21,00:13:00,19,93,0
19-09-21,00:13:15,19,93,0
19-09-21,00:13:30,19,93,0
19-09-21,00:13:45,19,93,0
19-09-21,00:14:00,19,93,0
19-09-21,00:14:15,19,93,0
19-09-21,00:14:30,19,93,0
19-09-21,00:14:45,19,93,0
19-09-21,00:15:00,19,93,0
19-09-21,00:15:15,19,93,0
19-09-21,00:15:30,19,93,0
19-09-21,00:15:45,19,93,0
19-09-21,00:16:00,19,93,0
19-09-21,00:16:15,19,93,0
19-09-21,00:16:30,19,93,0
19-09-21,00:16:45,19,93,0
19-09-21,00:17:00,19,93,0
19-09-21,00:17:15,19,93,0
19-09-21,00:17:30,19,93,0
19-09-21,00:17:45,19,93,0
19-09-21,00:18:00,19,93,0
19-09-21,00:18:15,19,93,0
19-09-21,00:18:30,19,93,0
19-09-21,00:18:45,19,93,0
19-09-21,00:19:00,19,93,0
19-09-21,00:19:15,19,93,0
19-09-21,00:19:30,19,93,0
19-09-21,00:19:45,19,93,0
19-09-21,00:20:00,19,93,0
19-09-21,00:20:15,19,93,0
19-09-21,00:20:30,19,93,0
19-09-21,00:20:45,19,93,0
19-09-21,00:21:00,19,93,0
19-09-21,00:21:15,19,93,0
19-09-21,00:21:30,19,93,0
19-09-21,00:21:45,19,93,0
19-09-21,00:22:00,19,93,0
