9.0,11.0,10.0,0.0,1,111.0,741.0
9.0,11.0,10.0,1.0,1,117.0,741.0
9.0,11.0,10.0,2.0,1,120.0,741.0
9.0,11.0,10.0,3.0,1,123.0,741.0
9.0,11.0,10.0,4.0,1,126.0,741.0
9.0,11.0,10.0,5.0,1,128.0,741.0
9.0,11.0,10.0,6.0,1,124.0,741.0
9.0,11.0,10.0,7.0,1,116.0,741.0
9.0,11.0,10.0,8.0,1,107.0,741.0
9.0,11.0,10.0,9.0,1,98.0,741.0
9.0,11.0,10.0,10.0,1,92.0,741.0
9.0,11.0,10.0,11.0,1,88.0,741.0
9.0,11.0,10.0,12.0,1,88.0,741.0
9.0,11.0,10.0,13.0,1,88.0,741.0
9.0,11.0,10.0,14.0,1,86.0,741.0
9.0,11.0,10.0,15.0,1,83.0,741.0
9.0,11.0,10.0,16.0,1,80.0,741.0
9.0,11.0,10.0,17.0,1,79.0,778.0
9.0,11.0,10.0,18.0,1,79.0,778.0
9.0,11.0,10.0,19.0,1,79.0,778.0
9.0,11.0,10.0,20.0,1,79.0,778.0
9.0,11.0,10.0,21.0,1,80.0,778.0
9.0,11.0,10.0,22.0,1,82.0,778.0
9.0,11.0,10.0,23.0,1,85.0,778.0
9.0,11.0,10.0,24.0,1,88.0,778.0
9.0,11.0,10.0,25.0,1,90.0,778.0
9.0,11.0,10.0,26.0,1,90.0,778.0
9.0,11.0,10.0,27.0,1,89.0,747.0
9.0,11.0,10.0,28.0,1,90.0,809.0
9.0,11.0,10.0,29.0,1,96.0,809.0
9.0,11.0,10.0,30.0,1,107.0,809.0
9.0,11.0,10.0,31.0,1,122.0,809.0
9.0,11.0,10.0,32.0,1,139.0,809.0
9.0,11.0,10.0,33.0,1,154.0,809.0
9.0,11.0,10.0,34.0,1,164.0,809.0
9.0,11.0,10.0,35.0,1,167.0,809.0
9.0,11.0,10.0,36.0,1,166.0,809.0
9.0,11.0,10.0,37.0,1,162.0,809.0
9.0,11.0,10.0,38.0,1,156.0,809.0
9.0,11.0,10.0,39.0,1,149.0,809.0
9.0,11.0,10.0,40.0,1,144.0,809.0
9.0,11.0,10.0,41.0,1,140.0,809.0
9.0,11.0,10.0,42.0,1,138.0,809.0
9.0,11.0,10.0,43.0,1,139.0,809.0
9.0,11.0,10.0,44.0,1,142.0,809.0
9.0,11.0,10.0,45.0,1,149.0,809.0
9.0,11.0,10.0,46.0,1,158.0,809.0
9.0,11.0,10.0,47.0,1,160.0,809.0
9.0,11.0,10.0,48.0,1,158.0,809.0
9.0,11.0,10.0,49.0,1,156.0,809.0
9.0,11.0,10.0,50.0,1,153.0,809.0
9.0,11.0,10.0,51.0,1,151.0,809.0
9.0,11.0,10.0,52.0,1,151.0,809.0
9.0,11.0,10.0,53.0,1,151.0,809.0
9.0,11.0,10.0,54.0,1,152.0,809.0
9.0,11.0,10.0,55.0,1,151.0,809.0
9.0,11.0,10.0,56.0,1,153.0,809.0
9.0,11.0,10.0,57.0,1,154.0,809.0
9.0,11.0,10.0,58.0,1,155.0,809.0
9.0,11.0,10.0,59.0,1,156.0,809.0
9.0,11.0,11.0,0.0,1,153.0,830.0
9.0,11.0,11.0,1.0,1,148.0,830.0
9.0,11.0,11.0,2.0,1,142.0,830.0
9.0,11.0,11.0,3.0,1,139.0,830.0
9.0,11.0,11.0,4.0,1,139.0,830.0
9.0,11.0,11.0,5.0,1,140.0,830.0
9.0,11.0,11.0,6.0,1,147.0,830.0
9.0,11.0,11.0,7.0,1,157.0,830.0
9.0,11.0,11.0,8.0,1,159.0,830.0
9.0,11.0,11.0,9.0,1,153.0,830.0
9.0,11.0,11.0,10.0,1,141.0,830.0
9.0,11.0,11.0,11.0,1,129.0,830.0
9.0,11.0,11.0,12.0,1,121.0,830.0
9.0,11.0,11.0,13.0,1,116.0,830.0
9.0,11.0,11.0,14.0,1,110.0,830.0
9.0,11.0,11.0,15.0,1,105.0,830.0
9.0,11.0,11.0,16.0,1,100.0,830.0
9.0,11.0,11.0,17.0,1,95.0,830.0
9.0,11.0,11.0,18.0,1,91.0,830.0
9.0,11.0,11.0,19.0,1,88.0,830.0
9.0,11.0,11.0,20.0,1,86.0,830.0
9.0,11.0,11.0,21.0,1,89.0,830.0
9.0,11.0,11.0,22.0,1,95.0,830.0
9.0,11.0,11.0,23.0,1,106.0,830.0
9.0,11.0,11.0,24.0,1,118.0,830.0
9.0,11.0,11.0,25.0,1,126.0,830.0
9.0,11.0,11.0,26.0,1,136.0,830.0
