1,2,4,7,15
19-12-24,00:00:15,11,59,1
19-12-24,00:00:30,11,59,2
19-12-24,00:00:45,11,59,1
19-12-24,00:01:00,11,59,1
19-12-24,00:01:15,11,59,1
19-12-24,00:01:30,11,59,1
19-12-24,00:01:45,11,59,1
19-12-24,00:02:00,11,59,1
19-12-24,00:02:15,11,59,1
19-12-24,00:02:30,11,60,1
19-12-24,00:02:45,11,60,1
19-12-24,00:03:00,11,60,1
19-12-24,00:03:15,11,60,1
19-12-24,00:03:30,11,60,1
19-12-24,00:03:45,11,60,1
19-12-24,00:04:00,11,61,1
19-12-24,00:04:15,11,61,1
19-12-24,00:04:30,10,61,1
19-12-24,00:04:45,10,62,1
19-12-24,00:05:00,10,62,1
19-12-24,00:05:15,10,62,1
19-12-24,00:05:30,10,62,1
19-12-24,00:05:45,10,62,1
19-12-24,00:06:00,10,62,1
19-12-24,00:06:15,10,62,1
19-12-24,00:06:30,10,62,1
19-12-24,00:06:45,10,62,1
19-12-24,00:07:00,10,63,1
19-12-24,00:07:15,10,63,1
19-12-24,00:07:30,10,63,1
19-12-24,00:07:45,10,63,1
19-12-24,00:08:00,10,63,1
19-12-24,00:08:15,10,64,1
19-12-24,00:08:30,10,64,1
19-12-24,00:08:45,10,64,1
19-12-24,00:09:00,10,64,1
19-12-24,00:09:15,10,64,1
19-12-24,00:09:30,10,64,1
19-12-24,00:09:45,10,64,1
19-12-24,00:10:00,10,64,1
19-12-24,00:10:15,10,64,1
19-12-24,00:10:30,10,65,1
19-12-24,00:10:45,10,65,1
19-12-24,00:11:00,10,65,1
19-12-24,00:11:15,10,65,1
19-12-24,00:11:30,10,65,1
19-12-24,00:11:45,10,65,1
19-12-24,00:12:00,10,66,1
19-12-24,00:12:15,10,65,1
19-12-24,00:12:30,10,65,1
19-12-24,00:12:45,10,65,1
19-12-24,00:13:00,9,65,1
19-12-24,00:13:15,9,66,1
19-12-24,00:13:30,9,66,1
19-12-24,00:13:45,9,66,1
19-12-24,00:14:00,9,66,1
19-12-24,00:14:15,9,67,1
19-12-24,00:14:30,9,67,1
19-12-24,00:14:45,9,67,1
19-12-24,00:15:00,9,67,1
19-12-24,00:15:15,9,67,1
19-12-24,00:15:30,9,67,1
19-12-24,00:15:45,9,68,1
19-12-24,00:16:00,9,68,1
19-12-24,00:16:15,9,68,1
19-12-24,00:16:30,9,68,1
19-12-24,00:16:45,9,67,1
19-12-24,00:17:00,9,67,1
19-12-24,00:17:15,9,68,1
19-12-24,00:17:30,9,68,1
19-12-24,00:17:45,9,68,1
19-12-24,00:18:00,9,68,1
19-12-24,00:18:15,9,68,1
19-12-24,00:18:30,9,68,1
19-12-24,00:18:45,9,68,1
19-12-24,00:19:00,9,68,1
19-12-24,00:19:15,9,68,1
19-12-24,00:19:30,9,68,1
19-12-24,00:19:45,9,68,1
19-12-24,00:20:00,9,68,1
19-12-24,00:20:15,9,68,1
19-12-24,00:20:30,9,68,1
19-12-24,00:20:45,9,68,1
19-12-24,00:21:00,9,67,1
19-12-24,00:21:15,9,67,1
19-12-24,00:21:30,9,67,0
19-12-24,00:21:45,9,67,0
19-12-24,00:22:00,9,67,0
19-12-24,00:22:15,9,67,0
19-12-24,00:22:30,9,67,0
19-12-24,00:22:45,9,67,0
19-12-24,00:23:00,9,66,0
19-12-24,00:23:15,9,66,0
19-12-24,00:23:30,9,67,0
19-12-24,00:23:45,9,67,0
19-12-24,00:24:00,9,66,0
19-12-24,00:24:15,9,66,0
19-12-24,00:24:30,9,66,0
19-12-24,00:24:45,9,66,0
19-12-24,00:25:00,9,66,0
19-12-24,00:25:15,9,66,0
19-12-24,00:25:30,9,66,0
19-12-24,00:25:45,9,66,0
19-12-24,00:26:00,9,65,0
19-12-24,00:26:15,10,65,0
19-12-24,00:26:30,10,65,0
19-12-24,00:26:45,10,65,0
19-12-24,00:27:00,10,65,0
19-12-24,00:27:15,10,65,0
19-12-24,00:27:30,10,64,0
19-12-24,00:27:45,10,64,0
19-12-24,00:28:00,10,64,0
19-12-24,00:28:15,10,64,0
19-12-24,00:28:30,10,64,0
19-12-24,00:28:45,10,64,0
19-12-24,00:29:00,10,64,0
19-12-24,00:29:15,10,64,0
19-12-24,00:29:30,10,64,0
19-12-24,00:29:45,10,64,0
19-12-24,00:30:00,10,64,0
19-12-24,00:30:15,10,64,0
19-12-24,00:30:30,10,64,0
19-12-24,00:30:45,10,64,0
19-12-24,00:31:00,10,64,0
19-12-24,00:31:15,10,63,0
19-12-24,00:31:30,10,63,0
19-12-24,00:31:45,10,63,0
19-12-24,00:32:00,10,63,0
19-12-24,00:32:15,10,63,0
19-12-24,00:32:30,10,63,0
19-12-24,00:32:45,10,63,0
19-12-24,00:33:00,10,63,0
19-12-24,00:33:15,10,63,0
19-12-24,00:33:30,10,63,0
19-12-24,00:33:45,10,63,0
19-12-24,00:34:00,10,63,0
19-12-24,00:34:15,10,63,0
19-12-24,00:34:30,10,63,0
19-12-24,00:34:45,10,63,0
19-12-24,00:35:00,10,63,0
19-12-24,00:35:15,10,63,0
19-12-24,00:35:30,10,63,0
19-12-24,00:35:45,10,63,0
19-12-24,00:36:00,10,63,0
19-12-24,00:36:15,10,63,0
19-12-24,00:36:30,10,63,0
19-12-24,00:36:45,10,63,0
19-12-24,00:37:00,10,63,0
19-12-24,00:37:15,10,63,0
19-12-24,00:37:30,10,63,0
19-12-24,00:37:45,10,63,0
19-12-24,00:38:00,10,63,0
19-12-24,00:38:15,10,63,0
19-12-24,00:38:30,10,63,0
19-12-24,00:38:45,10,63,0
19-12-24,00:39:00,10,63,0
19-12-24,00:39:15,10,63,0
19-12-24,00:39:30,10,63,0
19-12-24,00:39:45,10,63,0
19-12-24,00:40:00,10,63,0
19-12-24,00:40:15,10,62,0
19-12-24,00:40:30,10,62,0
19-12-24,00:40:45,10,62,0
19-12-24,00:41:00,10,62,0
19-12-24,00:41:15,10,62,0
19-12-24,00:41:30,10,62,0
19-12-24,00:41:45,10,62,0
19-12-24,00:42:00,10,62,0
19-12-24,00:42:15,10,62,0
19-12-24,00:42:30,10,62,0
19-12-24,00:42:45,10,62,0
19-12-24,00:43:00,10,62,0
19-12-24,00:43:15,10,62,0
19-12-24,00:43:30,10,62,0
19-12-24,00:43:45,10,62,0
19-12-24,00:44:00,10,62,0
19-12-24,00:44:15,10,62,0
19-12-24,00:44:30,10,62,0
19-12-24,00:44:45,10,62,0
19-12-24,00:45:00,10,62,0
19-12-24,00:45:15,10,62,0
19-12-24,00:45:30,10,62,0
19-12-24,00:45:45,10,62,0
19-12-24,00:46:00,10,62,0
19-12-24,00:46:15,10,62,0
19-12-24,00:46:30,10,61,0
19-12-24,00:46:45,10,61,0
19-12-24,00:47:00,10,61,0
19-12-24,00:47:15,10,61,0
19-12-24,00:47:30,10,61,0
19-12-24,00:47:45,10,61,0
19-12-24,00:48:00,10,62,0
19-12-24,00:48:15,10,62,0
19-12-24,00:48:30,10,62,0
19-12-24,00:48:45,10,62,0
19-12-24,00:49:00,10,62,0
19-12-24,00:49:15,10,63,0
19-12-24,00:49:30,10,63,0
19-12-24,00:49:45,10,63,0
19-12-24,00:50:00,10,63,0
19-12-24,00:50:15,10,63,0
19-12-24,00:50:30,10,63,0
19-12-24,00:50:45,10,63,0
19-12-24,00:51:00,10,64,0
19-12-24,00:51:15,10,64,0
19-12-24,00:51:30,10,64,0
19-12-24,00:51:45,10,64,0
19-12-24,00:52:00,10,63,0
19-12-24,00:52:15,10,63,0
19-12-24,00:52:30,10,64,0
19-12-24,00:52:45,10,64,0
19-12-24,00:53:00,10,64,0
19-12-24,00:53:15,10,63,0
19-12-24,00:53:30,10,63,0
19-12-24,00:53:45,10,63,0
19-12-24,00:54:00,10,63,0
19-12-24,00:54:15,10,63,0
19-12-24,00:54:30,10,63,0
19-12-24,00:54:45,10,63,0
19-12-24,00:55:00,10,63,0
19-12-24,00:55:15,10,62,0
19-12-24,00:55:30,10,62,0
19-12-24,00:55:45,10,62,0
19-12-24,00:56:00,10,61,0
19-12-24,00:56:15,10,61,0
19-12-24,00:56:30,10,61,0
19-12-24,00:56:45,10,60,0
19-12-24,00:57:00,10,60,0
19-12-24,00:57:15,11,59,0
19-12-24,00:57:30,11,59,0
19-12-24,00:57:45,11,58,0
19-12-24,00:58:00,11,57,0
19-12-24,00:58:15,11,57,-1
19-12-24,00:58:30,11,56,-1
19-12-24,00:58:45,11,56,0
19-12-24,00:59:00,11,55,-1
19-12-24,00:59:15,11,55,0
19-12-24,00:59:30,12,55,-1
