1,2,4,7,15
19-10-12,00:00:15,17,95,0
19-10-12,00:00:30,17,95,0
19-10-12,00:00:45,17,95,0
19-10-12,00:01:00,17,95,0
19-10-12,00:01:15,17,95,0
19-10-12,00:01:30,17,95,0
19-10-12,00:01:45,17,95,0
19-10-12,00:02:00,17,95,0
19-10-12,00:02:15,17,95,0
19-10-12,00:02:30,17,95,0
19-10-12,00:02:45,17,95,0
19-10-12,00:03:00,17,95,0
19-10-12,00:03:15,17,95,0
19-10-12,00:03:30,17,95,0
19-10-12,00:03:45,17,95,0
19-10-12,00:04:00,17,95,0
19-10-12,00:04:15,17,95,0
19-10-12,00:04:30,17,95,0
19-10-12,00:04:45,17,95,0
19-10-12,00:05:00,17,95,0
19-10-12,00:05:15,17,95,0
19-10-12,00:05:30,17,95,0
19-10-12,00:05:45,17,95,0
19-10-12,00:06:00,17,95,0
19-10-12,00:06:15,17,95,0
19-10-12,00:06:30,17,95,0
19-10-12,00:06:45,17,95,0
19-10-12,00:07:00,17,95,0
19-10-12,00:07:15,17,95,0
19-10-12,00:07:30,17,95,0
19-10-12,00:07:45,17,95,0
19-10-12,00:08:00,17,95,0
19-10-12,00:08:15,17,95,0
19-10-12,00:08:30,17,95,0
19-10-12,00:08:45,17,95,0
19-10-12,00:09:00,17,95,0
19-10-12,00:09:15,18,95,0
19-10-12,00:09:30,18,95,0
19-10-12,00:09:45,18,95,0
19-10-12,00:10:00,18,95,0
19-10-12,00:10:15,17,95,0
19-10-12,00:10:30,17,95,0
19-10-12,00:10:45,17,95,0
19-10-12,00:11:00,17,95,0
19-10-12,00:11:15,17,95,0
19-10-12,00:11:30,17,95,0
19-10-12,00:11:45,17,95,0
19-10-12,00:12:00,17,95,0
19-10-12,00:12:15,17,95,0
19-10-12,00:12:30,17,95,0
19-10-12,00:12:45,17,95,0
19-10-12,00:13:00,17,95,0
19-10-12,00:13:15,17,95,0
19-10-12,00:13:30,18,95,0
19-10-12,00:13:45,17,95,0
19-10-12,00:14:00,17,95,0
19-10-12,00:14:15,17,95,0
19-10-12,00:14:30,17,95,0
19-10-12,00:14:45,17,95,0
19-10-12,00:15:00,17,95,0
19-10-12,00:15:15,17,95,0
19-10-12,00:15:30,17,95,0
19-10-12,00:15:45,17,95,0
19-10-12,00:16:00,17,95,0
19-10-12,00:16:15,17,95,0
19-10-12,00:16:30,17,95,0
19-10-12,00:16:45,17,95,0
19-10-12,00:17:00,17,95,0
19-10-12,00:17:15,17,95,0
19-10-12,00:17:30,17,95,0
19-10-12,00:17:45,17,95,0
19-10-12,00:18:00,17,95,0
19-10-12,00:18:15,17,95,0
19-10-12,00:18:30,17,95,0
19-10-12,00:18:45,17,95,0
19-10-12,00:19:00,17,95,0
19-10-12,00:19:15,17,95,0
19-10-12,00:19:30,18,95,0
19-10-12,00:19:45,18,95,0
19-10-12,00:20:00,18,95,0
19-10-12,00:20:15,18,95,0
19-10-12,00:20:30,18,95,0
19-10-12,00:20:45,18,95,0
19-10-12,00:21:00,18,95,0
19-10-12,00:21:15,18,95,0
19-10-12,00:21:30,18,95,0
19-10-12,00:21:45,18,95,0
19-10-12,00:22:00,18,95,0
19-10-12,00:22:15,18,95,0
19-10-12,00:22:30,18,95,0
19-10-12,00:22:45,18,95,0
19-10-12,00:23:00,18,95,0
19-10-12,00:23:15,18,95,0
19-10-12,00:23:30,18,95,0
19-10-12,00:23:45,18,95,0
19-10-12,00:24:00,18,95,0
19-10-12,00:24:15,18,95,0
19-10-12,00:24:30,18,95,0
19-10-12,00:24:45,18,95,0
19-10-12,00:25:00,18,95,0
19-10-12,00:25:15,18,95,0
19-10-12,00:25:30,18,95,0
19-10-12,00:25:45,18,95,0
19-10-12,00:26:00,18,95,0
19-10-12,00:26:15,18,95,0
19-10-12,00:26:30,18,95,0
19-10-12,00:26:45,17,95,0
19-10-12,00:27:00,18,95,0
19-10-12,00:27:15,17,95,0
19-10-12,00:27:30,17,95,0
19-10-12,00:27:45,17,95,0
19-10-12,00:28:00,17,95,0
19-10-12,00:28:15,17,95,0
19-10-12,00:28:30,17,95,0
19-10-12,00:28:45,17,95,0
19-10-12,00:29:00,17,95,0
19-10-12,00:29:15,17,95,0
19-10-12,00:29:30,17,95,0
19-10-12,00:29:45,17,95,0
19-10-12,00:30:00,17,95,0
19-10-12,00:30:15,17,95,0
19-10-12,00:30:30,17,95,0
19-10-12,00:30:45,17,94,0
19-10-12,00:31:00,17,94,0
